model,parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,train_time_sec,variant,split,n_features,inference_time_sec
DistilBERT,"{""checkpoint"": ""distilbert-base-uncased"", ""epochs"": 3, ""eval_batch_size"": 32, ""learning_rate"": 2e-05, ""max_length"": 128, ""model_id"": ""foleg/banking-distilbert-intent-classifier"", ""train_batch_size"": 16, ""weight_decay"": 0.01}",0.9094155844155845,0.9091467312767352,0.9091467312767354,0.914840182266568,0.9094155844155848,,fine-tuned,test,,5.714907957997639
DistilBERT,"{""checkpoint"": ""distilbert-base-uncased"", ""epochs"": 3, ""eval_batch_size"": 32, ""learning_rate"": 2e-05, ""max_length"": 128, ""train_batch_size"": 16, ""weight_decay"": 0.01}",0.9065,0.900707484621432,0.905697570084648,0.9134452627507342,0.898439229219944,420.77483862498775,fine-tuned,validation,,
TF-IDF + Linear SVM,"{""C"": 1.0, ""min_df"": 1, ""ngram_range"": [1, 1]}",0.887987012987013,0.8878643639726165,0.8878643639726167,0.8923805961555574,0.887987012987013,,tuned,test,2158.0,0.0211328340228647
TF-IDF + Logistic Regression,"{""C"": 2.0, ""min_df"": 2, ""ngram_range"": [1, 1], ""sublinear_tf"": true}",0.8818181818181818,0.8819081272238161,0.8819081272238161,0.8878932147255618,0.881818181818182,,tuned,test,1331.0,0.0162990000098943
TF-IDF + Linear SVM,"{""classifier__C"": 1.0, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 1]}",0.879,0.8732374112212278,0.8787793689611878,0.8810312332509967,0.8713517907932126,3.870460291975178,tuned,validation,2158.0,
TF-IDF + Linear SVM,"{""C"": 1.0, ""min_df"": 2, ""ngram_range"": [1, 2], ""sublinear_tf"": true}",0.8755,0.8709086657679321,0.8750924454928208,0.8793384568554008,0.8680931353279349,0.3673861660063267,baseline,validation,8913.0,
TF-IDF + Logistic Regression,"{""classifier__C"": 2.0, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1]}",0.8675,0.8620065643860887,0.8675274452398948,0.8743868471523011,0.8588426925051067,15.551374041999225,tuned,validation,1331.0,
TF-IDF + Logistic Regression,"{""C"": 1.0, ""min_df"": 2, ""ngram_range"": [1, 2], ""sublinear_tf"": true}",0.841,0.829135123649282,0.8394507997840636,0.8547064880682923,0.8246393433389595,2.55527345900191,baseline,validation,8913.0,
DummyClassifier,"{""strategy"": ""most_frequent""}",0.019,0.000484304704128,0.0007085377821393,0.0002467532467532,0.0129870129870129,0.0010410409886389,baseline,validation,,
DummyClassifier,"{""strategy"": ""most_frequent""}",0.012987012987012988,0.000333000333000333,0.00033300033300033295,0.000168662506324844,0.012987012987012988,0.001041040988638997,baseline,test,,
